category,month,orders_count,items_sold,revenue,month_name
computers,1,1,1,2199.99,Jan
computers,2,1,1,3549.0,Feb
computers,8,28,28,32400.0,Aug
computers,9,39,40,51228.89,Sep
computers,10,26,27,40393.92,Oct
computers,11,7,7,9768.0,Nov
computers,12,19,23,16741.0,Dec
construction_tools_construction,2,3,3,336.79,Feb
construction_tools_construction,3,1,1,38.9,Mar
construction_tools_construction,5,1,1,99.99,May
construction_tools_construction,6,4,8,376.37,Jun
construction_tools_construction,7,5,6,549.4399999999999,Jul
construction_tools_construction,8,6,7,1180.0,Aug
construction_tools_construction,9,7,10,1240.3,Sep
construction_tools_construction,10,15,19,2576.18,Oct
construction_tools_construction,11,36,47,6993.56,Nov
construction_tools_construction,12,22,27,5830.35,Dec
electronics,1,11,11,617.0,Jan
electronics,2,14,19,1218.85,Feb
electronics,3,32,37,3986.0,Mar
electronics,4,47,48,4822.24,Apr
electronics,5,59,65,6149.11,May
electronics,6,39,41,2060.04,Jun
electronics,7,84,94,7266.04,Jul
electronics,8,52,56,2854.15,Aug
electronics,9,65,67,4338.96,Sep
electronics,10,55,62,3376.35,Oct
electronics,11,163,182,9992.99,Nov
electronics,12,189,209,8518.61,Dec
food_drink,3,4,4,85.8,Mar
food_drink,4,2,3,47.9,Apr
food_drink,5,10,12,345.49,May
food_drink,6,2,2,57.4,Jun
food_drink,7,7,8,168.2,Jul
food_drink,8,12,15,494.81,Aug
food_drink,9,6,9,310.86,Sep
food_drink,10,15,17,2297.23,Oct
food_drink,11,28,33,2445.57,Nov
food_drink,12,18,21,1033.68,Dec
home_appliances,2,7,7,740.9,Feb
home_appliances,3,9,10,313.3,Mar
home_appliances,4,9,10,499.4,Apr
home_appliances,5,28,28,1912.79,May
home_appliances,6,42,43,2507.19,Jun
home_appliances,7,37,37,3671.9900000000002,Jul
home_appliances,8,42,42,3921.35,Aug
home_appliances,9,10,10,1820.19,Sep
home_appliances,10,7,7,1837.68,Oct
home_appliances,11,25,25,4515.94,Nov
home_appliances,12,16,16,1331.0,Dec
home_construction,2,3,4,695.6,Feb
home_construction,3,5,10,591.96,Mar
home_construction,4,5,5,1602.69,Apr
home_construction,5,5,7,1620.5,May
home_construction,6,4,8,1992.3,Jun
home_construction,7,1,2,93.6,Jul
home_construction,8,1,1,124.8,Aug
home_construction,9,9,11,1357.81,Sep
home_construction,10,15,18,4201.17,Oct
home_construction,11,33,38,4936.72,Nov
home_construction,12,29,38,6525.3,Dec
kitchen_dining_laundry_garden_furniture,1,1,1,110.0,Jan
kitchen_dining_laundry_garden_furniture,2,2,2,139.9,Feb
kitchen_dining_laundry_garden_furniture,3,3,3,113.98,Mar
kitchen_dining_laundry_garden_furniture,4,8,9,1033.3999999999999,Apr
kitchen_dining_laundry_garden_furniture,5,9,9,1304.48,May
kitchen_dining_laundry_garden_furniture,6,4,4,374.8,Jun
kitchen_dining_laundry_garden_furniture,7,9,11,1316.5,Jul
kitchen_dining_laundry_garden_furniture,8,7,7,1006.2,Aug
kitchen_dining_laundry_garden_furniture,9,4,4,409.6,Sep
kitchen_dining_laundry_garden_furniture,10,14,16,3428.6,Oct
kitchen_dining_laundry_garden_furniture,11,28,33,5007.39,Nov
kitchen_dining_laundry_garden_furniture,12,16,20,4277.3,Dec
stationery,1,7,14,1561.99,Jan
stationery,2,19,19,2341.4,Feb
stationery,3,56,56,5902.62,Mar
stationery,4,35,35,4551.4400000000005,Apr
stationery,5,60,64,5600.18,May
stationery,6,37,38,3493.57,Jun
stationery,7,72,77,6906.85,Jul
stationery,8,75,80,6366.91,Aug
stationery,9,69,75,5851.52,Sep
stationery,10,89,96,7697.17,Oct
stationery,11,149,163,16406.19,Nov
stationery,12,229,248,24793.1,Dec
