category,total_orders,total_revenue,active_months,monthly_mean,monthly_std,cv,peak_to_mean,peak_to_min,peak_month_share,peak_quarter_share,seasonal_index_max,peak_month,peak_quarter,confidence_level,event_spike_count,max_spike_z_score,weekly_pattern_strength,trend_strength,seasonality_score,seasonality_type
diapers_and_hygiene,1,76.0,1,0.08333333333333333,0.2763853991962833,3.3166247903554,12.0,1.0,1.0,1.0,12.0,12,4,low,0.0,,1.4,0.42307692307692313,3.3166247903554,low_confidence
flowers,8,270.5,2,0.6666666666666666,1.699673171197595,2.5495097567963927,9.0,3.0,0.75,1.0,9.0,11,4,low,0.0,,1.4482758620689653,0.48717948717948717,2.5495097567963927,low_confidence
security_and_services,2,283.28999999999996,2,0.16666666666666666,0.3726779962499649,2.2360679774997894,6.0,1.0,0.5,0.5,6.0,1,1,low,0.0,,0.0,0.2307692307692306,2.2360679774997894,low_confidence
arts_and_craftmanship,2,151.89000000000001,2,0.16666666666666666,0.3726779962499649,2.2360679774997894,6.0,1.0,0.5,0.5,6.0,5,2,low,0.0,,1.2173913043478262,0.07692307692307698,2.2360679774997894,low_confidence
pc_gamer,4,519.96,3,0.3333333333333333,0.6236095644623235,1.8708286933869707,6.0,2.0,0.5,1.0,6.0,4,2,low,0.0,,0.5714285714285714,0.26923076923076933,1.8708286933869707,low_confidence
small_appliances_home_oven_and_coffee,3,734.79,3,0.25,0.4330127018922193,1.7320508075688772,4.0,1.0,0.3333333333333333,0.6666666666666666,4.0,6,3,low,0.0,,0.875,0.26923076923076916,1.7320508075688772,low_confidence
construction_tools_lights,17,4053.48,6,1.4166666666666667,2.43099202430247,1.715994370095861,6.352941176470588,9.0,0.5294117647058824,0.7647058823529411,6.352941176470588,11,4,low,2.0,4.028772486991291,0.6074380165289256,0.5512820512820513,1.715994370095861,low_confidence
drinks,70,4646.65,9,5.833333333333333,8.658650138573693,1.4843400237554902,5.314285714285715,31.0,0.44285714285714284,0.7857142857142857,5.314285714285715,12,4,low,3.0,3.9765823953704036,0.5365853658536586,0.6674937965260547,1.4843400237554902,low_confidence
furniture_mattress_and_upholstery,18,2548.2799999999997,7,1.5,2.179449471770337,1.452966314513558,5.333333333333333,8.0,0.4444444444444444,0.5555555555555556,5.333333333333333,12,4,low,0.0,,1.135135135135135,0.49999999999999994,1.452966314513558,low_confidence
cds_dvds_musicals,11,665.0,5,0.9166666666666666,1.3202482931462383,1.440270865250442,4.363636363636364,4.0,0.36363636363636365,0.5454545454545454,4.363636363636364,7,3,low,0.0,,1.0,0.5288461538461537,1.440270865250442,low_confidence
christmas_supplies,48,2826.94,8,4.0,5.744562646538029,1.4361406616345072,4.5,18.0,0.375,0.8125,4.5,11,4,low,1.0,3.1776705873085374,0.896,0.8076923076923077,1.4361406616345072,low_confidence
construction_tools_safety,34,7846.9,6,2.8333333333333335,4.0380138131952386,1.4251813458336136,4.235294117647059,12.0,0.35294117647058826,0.8235294117647058,4.235294117647059,11,4,low,2.0,4.299366563289115,0.7924528301886792,0.8397435897435898,1.4251813458336136,low_confidence
