category,weekday,orders_count,items_sold,revenue,weekday_name
computers,0,22,22,25797.56,Mon
computers,1,29,30,39560.87,Tue
computers,2,19,19,22427.49,Wed
computers,3,18,20,25184.93,Thu
computers,4,12,13,16424.0,Fri
computers,5,11,13,13972.98,Sat
computers,6,10,10,12912.97,Sun
construction_tools_construction,0,11,15,1918.0,Mon
construction_tools_construction,1,15,25,3416.65,Tue
construction_tools_construction,2,15,17,1445.32,Wed
construction_tools_construction,3,13,17,2746.1,Thu
construction_tools_construction,4,19,24,3877.96,Fri
construction_tools_construction,5,13,14,3231.6,Sat
construction_tools_construction,6,14,17,2586.25,Sun
electronics,0,128,154,8300.95,Mon
electronics,1,137,147,8790.17,Tue
electronics,2,128,142,8597.14,Wed
electronics,3,107,119,6804.06,Thu
electronics,4,117,124,11034.14,Fri
electronics,5,88,95,6332.36,Sat
electronics,6,105,110,5341.5199999999995,Sun
food_drink,0,16,18,1094.86,Mon
food_drink,1,17,21,1432.02,Tue
food_drink,2,22,24,1210.48,Wed
food_drink,3,17,19,992.0500000000001,Thu
food_drink,4,13,15,1146.08,Fri
food_drink,5,8,13,626.89,Sat
food_drink,6,11,14,784.56,Sun
home_appliances,0,39,39,4431.88,Mon
home_appliances,1,44,44,2789.5,Tue
home_appliances,2,35,35,3668.32,Wed
home_appliances,3,45,45,3228.33,Thu
home_appliances,4,16,17,2927.95,Fri
home_appliances,5,28,30,2867.36,Sat
home_appliances,6,25,25,3158.3900000000003,Sun
home_construction,0,13,16,1940.15,Mon
home_construction,1,15,22,3496.17,Tue
home_construction,2,16,21,4806.0,Wed
home_construction,3,17,22,3522.87,Thu
home_construction,4,22,26,3256.28,Fri
home_construction,5,12,17,3868.4,Sat
home_construction,6,15,18,2852.58,Sun
kitchen_dining_laundry_garden_furniture,0,15,18,2520.4700000000003,Mon
kitchen_dining_laundry_garden_furniture,1,17,19,1846.8500000000001,Tue
kitchen_dining_laundry_garden_furniture,2,14,15,3141.5,Wed
kitchen_dining_laundry_garden_furniture,3,19,20,3251.25,Thu
kitchen_dining_laundry_garden_furniture,4,14,17,2413.3,Fri
kitchen_dining_laundry_garden_furniture,5,9,11,2637.7799999999997,Sat
kitchen_dining_laundry_garden_furniture,6,17,19,2711.0,Sun
stationery,0,144,153,14441.01,Mon
stationery,1,148,160,15100.78,Tue
stationery,2,145,153,15019.82,Wed
stationery,3,138,146,14161.71,Thu
stationery,4,138,153,14854.74,Fri
stationery,5,92,102,9026.37,Sat
stationery,6,92,98,8868.51,Sun
