category,week,orders_count,items_sold,revenue,week_start
stationery,2017-01-02/2017-01-08,1,1,10.9,2017-01-02
electronics,2017-01-16/2017-01-22,10,10,557.1,2017-01-16
stationery,2017-01-16/2017-01-22,3,10,881.39,2017-01-16
electronics,2017-01-23/2017-01-29,1,1,59.9,2017-01-23
kitchen_dining_laundry_garden_furniture,2017-01-23/2017-01-29,1,1,110.0,2017-01-23
stationery,2017-01-23/2017-01-29,3,3,669.6999999999999,2017-01-23
computers,2017-01-30/2017-02-05,1,1,2199.99,2017-01-30
construction_tools_construction,2017-01-30/2017-02-05,1,1,149.9,2017-01-30
stationery,2017-01-30/2017-02-05,5,5,819.5,2017-01-30
construction_tools_construction,2017-02-06/2017-02-12,1,1,149.9,2017-02-06
electronics,2017-02-06/2017-02-12,5,6,268.65,2017-02-06
home_appliances,2017-02-06/2017-02-12,1,1,159.0,2017-02-06
home_construction,2017-02-06/2017-02-12,1,1,186.9,2017-02-06
stationery,2017-02-06/2017-02-12,11,11,1198.01,2017-02-06
construction_tools_construction,2017-02-13/2017-02-19,1,1,36.99,2017-02-13
electronics,2017-02-13/2017-02-19,3,4,480.0,2017-02-13
home_appliances,2017-02-13/2017-02-19,6,6,581.9,2017-02-13
home_construction,2017-02-13/2017-02-19,1,2,373.8,2017-02-13
kitchen_dining_laundry_garden_furniture,2017-02-13/2017-02-19,1,1,110.0,2017-02-13
stationery,2017-02-13/2017-02-19,2,2,254.9,2017-02-13
computers,2017-02-20/2017-02-26,1,1,3549.0,2017-02-20
electronics,2017-02-20/2017-02-26,3,3,328.0,2017-02-20
home_construction,2017-02-20/2017-02-26,1,1,134.9,2017-02-20
stationery,2017-02-20/2017-02-26,1,1,68.99,2017-02-20
construction_tools_construction,2017-02-27/2017-03-05,1,1,38.9,2017-02-27
electronics,2017-02-27/2017-03-05,7,11,431.9,2017-02-27
home_appliances,2017-02-27/2017-03-05,2,3,77.9,2017-02-27
kitchen_dining_laundry_garden_furniture,2017-02-27/2017-03-05,1,1,29.9,2017-02-27
stationery,2017-02-27/2017-03-05,6,6,866.8,2017-02-27
electronics,2017-03-06/2017-03-12,5,6,628.79,2017-03-06
food_drink,2017-03-06/2017-03-12,1,1,19.9,2017-03-06
home_appliances,2017-03-06/2017-03-12,1,1,27.0,2017-03-06
home_construction,2017-03-06/2017-03-12,1,6,91.08,2017-03-06
kitchen_dining_laundry_garden_furniture,2017-03-06/2017-03-12,1,1,48.0,2017-03-06
stationery,2017-03-06/2017-03-12,15,15,1475.9,2017-03-06
electronics,2017-03-13/2017-03-19,7,8,1236.47,2017-03-13
