order_date,all_revenue,top10_revenue,top20_revenue
2017-10-15,18598.06,11509.439999999999,12138.139999999998
2017-10-16,30039.98,14346.02,19590.18
2017-10-17,29361.78,12451.58,15437.289999999999
2017-10-18,27257.79,11263.66,15401.11
2017-10-19,23128.37,8088.1,13551.01
2017-10-20,18523.4,8838.57,11846.17
2017-10-21,14332.86,5634.4299999999985,8664.25
2017-10-22,19195.28,7475.58,9678.859999999999
2017-10-23,21682.21,9601.259999999998,12752.69
2017-10-24,22034.47,7693.61,11293.18
2017-10-25,17397.16,5972.88,8468.939999999999
2017-10-26,21253.81,8590.77,12571.31
2017-10-27,20318.58,8993.779999999999,12508.07
2017-10-28,16333.61,10659.519999999999,11689.099999999999
2017-10-29,17048.75,6140.32,8315.96
2017-10-30,19400.06,9240.46,11112.65
2017-10-31,23753.1,11032.760000000002,13235.39
2017-11-01,19363.71,9700.79,12220.19
2017-11-02,21074.93,10550.31,13406.34
2017-11-03,22844.05,10614.819999999998,13462.699999999999
2017-11-04,19033.27,8829.17,12098.439999999999
2017-11-05,16323.76,6547.63,8155.86
2017-11-06,27673.15,11954.4,17004.52
2017-11-07,19711.71,7764.59,10144.22
2017-11-08,18594.64,5640.3,7160.2
2017-11-09,24307.55,9814.409999999998,12253.77
2017-11-10,18789.56,5066.33,8528.07
2017-11-11,22768.63,11040.93,14503.63
2017-11-12,22553.77,9048.06,13157.139999999998
2017-11-13,23792.68,7727.439999999999,10654.14
2017-11-14,26542.95,11734.220000000001,15658.85
2017-11-15,22591.4,7305.5599999999995,11855.710000000001
2017-11-16,27674.54,9350.6,14366.509999999998
2017-11-17,28711.29,12609.72,17339.6
2017-11-18,22713.91,11249.289999999997,14969.890000000001
2017-11-19,19932.66,7506.23,10600.21
2017-11-20,43405.98,25022.780000000002,31327.74
2017-11-21,33600.85,16416.059999999998,20737.350000000002
2017-11-22,23951.51,9183.94,12448.019999999999
2017-11-23,43102.33,19937.610000000004,26150.99
2017-11-24,149916.58,63144.33,78412.62
2017-11-25,59928.51,22472.88,29529.39
2017-11-26,44000.48,14572.28,19495.510000000002
2017-11-27,47237.270000000004,14174.54,20767.829999999998
2017-11-28,47694.76,15918.17,23472.820000000007
2017-11-29,39093.09,15765.599999999999,20402.530000000002
2017-11-30,30835.850000000002,9359.28,14565.82
2017-12-01,38966.51,17196.04,23377.890000000003
2017-12-02,30769.14,13187.039999999999,18164.94
2017-12-03,28825.3,7879.279999999999,14746.0
2017-12-04,45101.28,18796.220000000005,26663.51000000001
2017-12-05,33224.77,10030.13,15517.49
2017-12-06,38694.05,15825.619999999999,20889.790000000005
2017-12-07,27649.88,10654.8,13676.44
2017-12-08,28848.49,11551.619999999999,16232.079999999998
2017-12-09,19728.04,7315.67,11069.65
2017-12-10,23843.78,10394.24,13292.0
2017-12-11,33134.94,12356.58,17579.79
2017-12-12,32802.19,9830.279999999999,15568.72
2017-12-13,28972.58,10046.269999999999,14354.179999999998
2017-12-14,24980.45,10155.05,14269.519999999999
2017-12-15,26582.62,11725.759999999998,16337.45
