year,month,year_month,orders_count,large_purchase_count_p90,large_purchase_share_p90,large_purchase_share_p75,avg_payment_value,median_payment_value,avg_payment_installments,share_installments_6_plus
2016,9,2016-09,1,0,0.0,0.0,,,,0.0
2016,10,2016-10,265,39,0.1471698113207547,0.2830188679245283,175.72343396226415,111.22,3.6528301886792454,0.24150943396226415
2016,12,2016-12,1,0,0.0,0.0,19.62,19.62,1.0,0.0
2017,1,2017-01,750,105,0.14,0.27466666666666667,170.06089333333333,104.10499999999999,2.974666666666667,0.18266666666666667
2017,2,2017-02,1653,172,0.10405323653962492,0.24742891712038717,164.12501512401695,105.83,2.823956442831216,0.15547489413188142
2017,3,2017-03,2546,274,0.10761979575805185,0.24823252160251374,162.75309897879026,101.53,2.9725058915946585,0.17635506677140614
2017,4,2017-04,2303,264,0.11463308727746417,0.2700825010855406,169.7577854971776,103.63,3.1732522796352582,0.19279201042118976
2017,5,2017-05,3546,340,0.09588268471517203,0.23914269599548788,159.91729554427525,104.37,3.352509870276368,0.20755781161872533
2017,6,2017-06,3135,282,0.08995215311004785,0.22838915470494417,156.37180223285486,100.33,3.232535885167464,0.19425837320574163
2017,7,2017-07,3872,328,0.08471074380165289,0.22985537190082644,146.28200671487605,102.03,3.2773760330578514,0.18336776859504134
2017,8,2017-08,4193,388,0.09253517767708085,0.2370617696160267,154.066446458383,100.11,3.1595516336751728,0.1800620081087527
2017,9,2017-09,4150,456,0.10987951807228916,0.25783132530120484,168.95662409638555,104.37,3.076144578313253,0.1783132530120482
2017,10,2017-10,4478,507,0.11322018758374275,0.258820902188477,167.7401228226887,106.29,2.9472979008485933,0.16279589102277803
2017,11,2017-11,7289,749,0.10275757991494032,0.24722184113047058,158.25600905474002,103.55,3.1041295102208806,0.17176567430374537
2017,12,2017-12,5513,479,0.08688554326138219,0.2503174315254852,152.94742789769637,105.87,2.925993107201161,0.1592599310720116
2018,1,2018-01,7069,657,0.09294101004385344,0.24402319988682983,152.58266515773096,104.52,2.683972273305984,0.13325788654689488
2018,2,2018-02,6555,590,0.09000762776506484,0.23249427917620138,147.44635850495806,102.83,2.6590389016018308,0.13424866514111367
2018,3,2018-03,7003,725,0.10352705983150079,0.2580322718834785,160.02827359702985,106.73,2.8927602456090247,0.15721833499928603
2018,4,2018-04,6798,719,0.10576640188290674,0.2628714327743454,166.65695057369814,109.16499999999999,2.7437481612238894,0.1423948220064725
2018,5,2018-05,6749,709,0.10505260038524226,0.25603793154541415,167.25984442139574,108.55,2.884871832864128,0.16446881019410284
2018,6,2018-06,6099,650,0.10657484833579275,0.26086243646499424,165.9437088047221,112.09,2.8740777176586327,0.16199376947040497
2018,7,2018-07,6159,638,0.10358824484494236,0.26465335281701574,166.89460301997076,108.96,2.7627861665854847,0.14482870595875955
2018,8,2018-08,6351,577,0.09085183435679421,0.24043457723193198,155.15891670603054,100.67,2.7923161706817825,0.14391434419776414
