month,year_month,orders_count,items_count,total_revenue,avg_item_price,median_item_price,large_items_count_top5,large_revenue_top5,large_items_share_top5,large_revenue_share_of_period_top5,large_revenue_distribution_top5,large_items_count_top10,large_revenue_top10,large_items_share_top10,large_revenue_share_of_period_top10,large_revenue_distribution_top10,large_items_count_top15,large_revenue_top15,large_items_share_top15,large_revenue_share_of_period_top15,large_revenue_distribution_top15,large_items_count_top20,large_revenue_top20,large_items_share_top20,large_revenue_share_of_period_top20,large_revenue_distribution_top20
1,2017-01,750,913,111798.36,122.45165388828039,65.0,75,44427.479999999996,0.08214676889375684,0.3973893713646604,0.02514249424124711,106,53019.28,0.11610076670317634,0.47424023035758306,0.02158150355525093,154,62952.85,0.1686746987951807,0.563092785976467,0.02131038868165808,188,68738.16,0.2059145673603505,0.6148405039215245,0.02037702048390933
2,2017-02,1653,1858,234223.4,126.062109795479,70.495,98,79231.19,0.0527448869752422,0.338271880606293,0.044838684037495614,180,102485.19,0.0968783638320775,0.43755316505524217,0.04171660747459353,261,118890.5,0.14047362755651238,0.5075944589652444,0.04024603755916801,366,136543.79,0.1969860064585576,0.5829639139385733,0.04047759797149958
3,2017-03,2546,2897,359198.85,123.98993786675871,72.0,154,118275.89,0.05315843976527442,0.3292769172284377,0.06693494394017795,302,159657.12,0.10424577148774594,0.4444811557720745,0.06498844765340314,430,185725.56,0.1484294097342078,0.517054996139325,0.06287060667973901,561,207993.71,0.1936486020020711,0.5790489306967436,0.0616585036491273
4,2017-04,2303,2569,340669.68,132.60789412222655,79.0,159,120073.75,0.061891786687427015,0.3524638588324033,0.06795239270604467,324,166932.41,0.1261191124951343,0.4900125247424426,0.06794985522062175,441,191015.27,0.17166212534059946,0.5607052262473138,0.06466124484962733,573,213333.78,0.22304398598676528,0.6262188639740408,0.06324153577823156
5,2017-05,3546,4004,489338.25,122.21235014985015,74.9,216,154051.16,0.053946053946053944,0.31481528370202005,0.0871809610438728,395,202758.49,0.09865134865134866,0.41435242391127197,0.08253286488975915,620,249236.83,0.15484515484515485,0.5093344532130892,0.08437002806202322,800,279791.94,0.1998001998001998,0.5717761487069527,0.08294266376366097
6,2017-06,3135,3489,421923.37,120.92959873889366,69.9,182,134189.62,0.052163943823445115,0.3180426341399387,0.07594087596427117,352,180782.29,0.10088850673545428,0.4284718573422468,0.07358745034563662,512,213406.15,0.1467469188879335,0.5057936231406192,0.07224085968397342,680,241710.98,0.19489825164803667,0.5728788618653667,0.07165378867641783
7,2017-07,3872,4416,481604.52,109.05899456521739,69.99,150,97536.72,0.033967391304347824,0.2025245111902189,0.05519818861907387,345,151524.66,0.078125,0.3146246634063983,0.061678128946643346,638,211306.5,0.14447463768115942,0.4387552259683941,0.07153009984394325,857,247864.91,0.19406702898550723,0.5146648332951692,0.0734780847830716
8,2017-08,4193,4797,554699.7,115.63470919324577,69.0,244,159811.34,0.05086512403585575,0.28810424811839636,0.09044077439539637,446,216224.07,0.09297477590160518,0.38980383439904515,0.08801403065895701,703,268779.48,0.14654992703773193,0.4845495319359286,0.09098547863129221,958,311641.64,0.19970815092766311,0.5618204588897381,0.09238431872367688
9,2017-09,4150,4737,607399.67,128.22454507071987,75.0,268,196486.44,0.056575891914713954,0.32348789389365323,0.11119602521194419,517,266429.81,0.10914080641756387,0.4386400308712713,0.10845028245837797,741,312268.34,0.1564281190626979,0.5141068647600682,0.10570704421445824,1045,363580.63,0.2206037576525227,0.5985854914935992,0.10778132474105588
10,2017-10,4478,5214,648247.65,124.32827963176065,72.17,280,203272.55,0.05370157268891446,0.3135723669804279,0.11503643505728021,570,283747.55,0.1093210586881473,0.43771473756981605,0.11549947036471904,814,333681.26,0.15611814345991562,0.5147434934781484,0.11295560640043155,1068,376431.86,0.2048331415420023,0.5806914379095705,0.1115909957731788
11,2017-11,7289,8475,987765.37,116.55048613569322,69.99,411,276051.3,0.048495575221238936,0.27947051838839015,0.1562235404875266,860,400022.27,0.10147492625368731,0.4049770139238633,0.1628291074904176,1221,473221.17,0.14407079646017698,0.47908256795842113,0.16019174771418598,1585,534850.61,0.18702064896755163,0.5414753606921854,0.15855329609930494
12,2017-12,5513,6187,726033.1900000001,117.34818005495394,79.0,279,183620.11,0.045094553095199615,0.25290869966977675,0.10391468429566927,604,273116.87,0.09762405042831744,0.37617683841698746,0.11117225094161984,899,333608.15,0.14530467108453207,0.4594943517664805,0.11293085767949967,1237,390835.5,0.19993534831097462,0.5383162992865381,0.1158608695568654
