week,orders_count,items_count,total_revenue,avg_item_price,median_item_price,large_items_count_top5,large_revenue_top5,large_items_share_top5,large_revenue_share_of_period_top5,large_revenue_distribution_top5,large_items_count_top10,large_revenue_top10,large_items_share_top10,large_revenue_share_of_period_top10,large_revenue_distribution_top10,large_items_count_top15,large_revenue_top15,large_items_share_top15,large_revenue_share_of_period_top15,large_revenue_distribution_top15,large_items_count_top20,large_revenue_top20,large_items_share_top20,large_revenue_share_of_period_top20,large_revenue_distribution_top20
2017-01-02/2017-01-08,44,45,3114.96,69.22133333333333,10.9,4,1804.0,0.08888888888888889,0.5791406631224799,0.0010209235277627675,5,2043.9,0.1111111111111111,0.656156098312659,0.0008319697120854411,5,2043.9,0.1111111111111111,0.656156098312659,0.0006918877132082338,6,2203.89,0.13333333333333333,0.7075179135526619,0.0006533301396819891
2017-01-09/2017-01-15,73,83,10969.66,132.164578313253,69.9,14,5695.05,0.1686746987951807,0.5191637662425271,0.0032229548430074,15,5974.05,0.18072289156626506,0.5445975536160647,0.002431737687012099,17,6373.94,0.20481927710843373,0.5810517372461863,0.0021576646463753063,24,7571.64,0.2891566265060241,0.6902347018959567,0.0022445678408730637
2017-01-16/2017-01-22,189,233,23316.8,100.07210300429185,59.5,14,6843.87,0.060085836909871244,0.29351669182735196,0.0038730975077326895,17,7728.7699999999995,0.07296137339055794,0.3314678686612228,0.003145996649383333,28,9978.22,0.12017167381974249,0.42794122692650793,0.0033777620322367344,38,11640.65,0.1630901287553648,0.49923874631167225,0.0034508017598378986
2017-01-23/2017-01-29,332,400,53679.16,134.1979,69.7,33,21425.03,0.0825,0.3991312457199404,0.012124898675179118,56,27854.15,0.14,0.5189006310829007,0.01133803471592773,78,32492.11,0.195,0.6053021321496088,0.010999017410445905,91,34757.409999999996,0.2275,0.6475028670344318,0.010303628370873393
2017-01-30/2017-02-05,432,500,68718.18000000001,137.43636,79.99,34,26200.7,0.068,0.3812775600285106,0.014827556027635224,53,31419.67,0.106,0.4572250021755523,0.012789380010626532,83,37470.37,0.166,0.545275937168301,0.012684225555245563,109,41828.3,0.218,0.6086933617857748,0.012399751839547413
2017-02-06/2017-02-12,511,562,75998.99,135.22951957295373,79.755,30,28390.1,0.05338078291814947,0.3735589117697485,0.016066585945420035,59,36527.57,0.10498220640569395,0.4806323084030458,0.014868551248143643,74,39634.89,0.13167259786476868,0.5215186412345743,0.0134169447650863,108,45339.23,0.19217081850533807,0.5965767439804134,0.013440546247305372
2017-02-13/2017-02-19,379,434,51034.99,117.59214285714285,74.7,24,13663.13,0.055299539170506916,0.26772083231524096,0.007732267671774558,45,19669.46,0.10368663594470046,0.38541126391912683,0.008006455782120505,70,24766.31,0.16129032258064516,0.4852809807545765,0.008383729923433735,96,29108.22,0.22119815668202766,0.5703581013731952,0.008628959448291009
2017-02-20/2017-02-26,349,398,42722.94,107.3440703517588,64.99,11,11620.09,0.02763819095477387,0.2719871338442532,0.006576066117361895,21,14491.05,0.052763819095477386,0.3391866290100821,0.005898583441614428,43,18892.96,0.10804020100502512,0.4422205026152226,0.006395521742812579,61,21945.18,0.15326633165829145,0.5136626833265688,0.006505518657803427
2017-02-27/2017-03-05,461,534,67456.1,126.32228464419477,69.945,30,25697.25,0.056179775280898875,0.3809477571338989,0.014542642529823603,50,31569.78,0.09363295880149813,0.4680048209131568,0.012850482302069923,65,34566.06,0.12172284644194757,0.5124230425417419,0.011701077453896275,93,39278.0,0.17415730337078653,0.5822749906976536,0.011643730506708217
2017-03-06/2017-03-12,548,637,73088.13,114.73803767660911,69.0,32,22448.47,0.05023547880690738,0.30714248674853223,0.01270408602288063,58,29599.26,0.09105180533751962,0.4049803983218615,0.012048381926778273,89,35891.01,0.13971742543171115,0.4910648281738772,0.01214959089663577,114,40127.340000000004,0.17896389324960754,0.5490267708313238,0.011895512320155123
