month,category,orders_count,items_sold,revenue,rank,month_name
1,furniture_decor,132,177,13036.630000000001,1,Jan
1,health_beauty,79,82,12366.44,2,Jan
1,sports_leisure,57,74,9212.14,3,Jan
2,furniture_decor,213,257,19926.41,1,Feb
2,health_beauty,143,154,22059.92,2,Feb
2,bed_bath_table,140,157,15572.130000000001,3,Feb
3,furniture_decor,253,315,22133.47,1,Mar
3,bed_bath_table,239,279,25120.02,2,Mar
3,health_beauty,190,208,25652.45,3,Mar
4,bed_bath_table,231,271,24092.89,1,Apr
4,sports_leisure,184,203,22997.06,2,Apr
4,health_beauty,168,180,22156.34,3,Apr
5,bed_bath_table,323,361,32684.600000000002,1,May
5,health_beauty,261,284,46340.06,2,May
5,housewares,259,302,21374.9,3,May
6,bed_bath_table,324,369,33803.23,1,Jun
6,housewares,280,321,22978.21,2,Jun
6,sports_leisure,245,269,32066.93,3,Jun
7,bed_bath_table,503,569,62786.96,1,Jul
7,sports_leisure,327,375,36618.83,2,Jul
7,health_beauty,270,308,34239.45,3,Jul
8,bed_bath_table,442,506,56580.63,1,Aug
8,sports_leisure,375,417,40624.770000000004,2,Aug
8,health_beauty,338,352,49030.23,3,Aug
9,bed_bath_table,456,528,52105.61,1,Sep
9,sports_leisure,408,453,48972.11,2,Sep
9,health_beauty,356,376,50649.16,3,Sep
10,bed_bath_table,442,542,46007.7,1,Oct
10,sports_leisure,417,462,48568.98,2,Oct
10,health_beauty,322,350,40698.99,3,Oct
11,bed_bath_table,804,961,87957.63,1,Nov
11,sports_leisure,542,597,62686.24,2,Nov
11,furniture_decor,536,767,62091.270000000004,3,Nov
12,bed_bath_table,476,546,50081.16,1,Dec
12,sports_leisure,431,484,58722.48,2,Dec
12,health_beauty,426,460,60688.75,3,Dec
