month,product_id,category,orders_count,items_sold,revenue,rank,month_name
1,a703f5ade6e4fae527357132230ea778,health_beauty,11,12,291.79999999999995,1,Jan
1,4a90b44b456e79e7a33435fdd36e551f,garden_tools,9,9,3420.0,2,Jan
1,913580fde3e72c3b3e4ce0b79963bee6,fixed_telephony,9,11,120.89,3,Jan
1,f5d8f4fbc70ca2a0038b9a0010ed5cb0,fashion_bags_accessories,9,9,98.10000000000001,4,Jan
1,6cdd53843498f92890544667809f1595,health_beauty,8,8,2799.2,5,Jan
2,a703f5ade6e4fae527357132230ea778,health_beauty,13,13,310.7,1,Feb
2,154e7e31ebfa092203795c972e5804a6,health_beauty,10,10,199.89999999999998,2,Feb
2,7e0dc102074f8285580c9777f79c90cf,garden_tools,8,8,319.2,3,Feb
2,f2af004352a06a99dca765596240cbc3,health_beauty,8,9,215.01,4,Feb
2,ad53b56bfd80cb8adc160a3deaa239b9,telephony,7,10,1429.9,5,Feb
3,7e0dc102074f8285580c9777f79c90cf,garden_tools,38,44,1555.6,1,Mar
3,99a4788cb24856965c36a24e339b6058,bed_bath_table,20,22,1977.8000000000002,2,Mar
3,5a6e53c3b4e8684b13388d6aa4afdf12,housewares,20,20,295.8,3,Mar
3,eba7488e1c67729f045ab43fac426f2e,perfumery,15,15,2980.9,4,Mar
3,a695ab8413ea83619cde9b18292d6aa1,furniture_decor,15,17,710.0,5,Mar
4,99a4788cb24856965c36a24e339b6058,bed_bath_table,30,33,2966.7000000000003,1,Apr
4,4ae634441e444ca4bc85903cafe98d73,telephony,20,20,347.26,2,Apr
4,c6dd917a0be2a704582055949915ab32,cool_stuff,17,17,1699.83,3,Apr
4,e9a69340883a438c3f91739d14d3a56d,housewares,14,14,2388.6,4,Apr
4,78b7b1ff2d3f06a589354ddf2f4f9db3,perfumery,13,14,4100.599999999999,5,Apr
5,99a4788cb24856965c36a24e339b6058,bed_bath_table,55,58,5214.200000000001,1,May
5,5a6e53c3b4e8684b13388d6aa4afdf12,housewares,23,23,390.77,2,May
5,c6dd917a0be2a704582055949915ab32,cool_stuff,22,22,2199.7799999999997,3,May
5,bbaef2eadf31fe3ea6702077398be06c,perfumery,19,21,1196.79,4,May
5,29427de7f8a9ee983d9dbc51cec569b4,cool_stuff,18,18,1799.82,5,May
6,42a2c92a0979a949ca4ea89ec5c7b934,housewares,62,71,4252.9,1,Jun
6,99a4788cb24856965c36a24e339b6058,bed_bath_table,45,48,4315.200000000001,2,Jun
6,7c1bd920dbdf22470b68bde975dd3ccf,health_beauty,21,21,1234.79,3,Jun
6,154e7e31ebfa092203795c972e5804a6,health_beauty,20,20,399.79999999999995,4,Jun
6,601a360bd2a916ecef0e88de72a6531a,cool_stuff,17,17,2209.83,5,Jun
7,99a4788cb24856965c36a24e339b6058,bed_bath_table,60,60,5394.0,1,Jul
7,f1c7f353075ce59d8a6f3cf58f419c9c,bed_bath_table,56,58,11890.0,2,Jul
7,154e7e31ebfa092203795c972e5804a6,health_beauty,27,28,559.7199999999999,3,Jul
7,c6336fa91fbd87c359e44f5dca5a90ed,sports_leisure,20,22,877.8,4,Jul
7,31a2f42a87890f87d77daebdfabc182e,toys,18,18,2682.0,5,Jul
8,f1c7f353075ce59d8a6f3cf58f419c9c,bed_bath_table,51,52,10375.0,1,Aug
8,99a4788cb24856965c36a24e339b6058,bed_bath_table,35,36,3236.4,2,Aug
8,422879e10f46682990de24d770e7f83d,garden_tools,28,39,2336.1,3,Aug
8,88dd63919fc9ab693803578a04a20209,computers_accessories,27,28,989.72,4,Aug
8,154e7e31ebfa092203795c972e5804a6,health_beauty,27,28,651.7199999999999,5,Aug
9,422879e10f46682990de24d770e7f83d,garden_tools,33,37,2216.2999999999997,1,Sep
9,f1c7f353075ce59d8a6f3cf58f419c9c,bed_bath_table,31,32,5222.36,2,Sep
9,7c1bd920dbdf22470b68bde975dd3ccf,health_beauty,23,25,1474.75,3,Sep
9,154e7e31ebfa092203795c972e5804a6,health_beauty,23,24,575.76,4,Sep
9,b0961721fd839e9982420e807758a2a6,garden_tools,21,32,1916.8,5,Sep
10,0aabfb375647d9738ad0f7b4ea3653b1,consoles_games,28,28,603.1999999999999,1,Oct
10,ec2d43cc59763ec91694573b31f1c29a,bed_bath_table,25,29,1331.1,2,Oct
10,368c6c730842d78016ad823897a372db,garden_tools,24,36,2156.4,3,Oct
10,389d119b48cf3043d311335e499d9c6b,garden_tools,24,31,1856.8999999999999,4,Oct
10,2b4609f8948be18874494203496bc318,health_beauty,23,23,2069.77,5,Oct
11,422879e10f46682990de24d770e7f83d,garden_tools,72,91,4769.7,1,Nov
11,53759a2ecddad2bb87a079a1f1519f73,garden_tools,67,82,4397.7,2,Nov
11,389d119b48cf3043d311335e499d9c6b,garden_tools,64,87,4712.19,3,Nov
11,368c6c730842d78016ad823897a372db,garden_tools,56,69,3711.7,4,Nov
11,99a4788cb24856965c36a24e339b6058,bed_bath_table,36,37,3326.3,5,Nov
12,4c2394abfbac7ff59ec7a420918562fa,health_beauty,48,50,4249.5,1,Dec
12,aca2eb7d00ea1a7b8ebd4e68314663af,furniture_decor,34,45,3375.0,2,Dec
12,53759a2ecddad2bb87a079a1f1519f73,garden_tools,31,40,2232.6,3,Dec
12,b1d207586fca400a2370d50a9ba1da98,unknown,30,31,4619.0,4,Dec
12,5a848e4ab52fd5445cdc07aab1c40e48,unknown,30,30,3689.7,5,Dec
