quarter,product_id,category,orders_count,items_sold,revenue,rank
1,7e0dc102074f8285580c9777f79c90cf,garden_tools,48,54,1954.6,1
1,a703f5ade6e4fae527357132230ea778,health_beauty,24,25,602.5,2
1,99a4788cb24856965c36a24e339b6058,bed_bath_table,22,24,2157.6000000000004,3
1,c6dd917a0be2a704582055949915ab32,cool_stuff,21,21,1999.79,4
1,5a6e53c3b4e8684b13388d6aa4afdf12,housewares,20,20,295.8,5
2,99a4788cb24856965c36a24e339b6058,bed_bath_table,130,139,12496.1,1
2,42a2c92a0979a949ca4ea89ec5c7b934,housewares,75,84,5031.599999999999,2
2,c6dd917a0be2a704582055949915ab32,cool_stuff,53,53,5299.469999999999,3
2,154e7e31ebfa092203795c972e5804a6,health_beauty,48,48,959.52,4
2,601a360bd2a916ecef0e88de72a6531a,cool_stuff,47,47,6109.530000000001,5
3,f1c7f353075ce59d8a6f3cf58f419c9c,bed_bath_table,138,142,27487.36,1
3,99a4788cb24856965c36a24e339b6058,bed_bath_table,115,118,10608.2,2
3,154e7e31ebfa092203795c972e5804a6,health_beauty,77,80,1787.1999999999998,3
3,422879e10f46682990de24d770e7f83d,garden_tools,72,90,5391.0,4
3,7c1bd920dbdf22470b68bde975dd3ccf,health_beauty,58,61,3602.39,5
4,422879e10f46682990de24d770e7f83d,garden_tools,122,181,9987.4,1
4,389d119b48cf3043d311335e499d9c6b,garden_tools,116,150,8338.789999999999,2
4,53759a2ecddad2bb87a079a1f1519f73,garden_tools,115,141,7768.4,3
4,368c6c730842d78016ad823897a372db,garden_tools,108,149,8336.7,4
4,4c2394abfbac7ff59ec7a420918562fa,health_beauty,85,88,7479.12,5
